Model,Metric,External Validation,Internal Validation,Training
ABC,AUC,0.830 (0.772-0.883),0.813 (0.748-0.874),0.824 (0.789-0.858)
ABC,Accuracy,0.811 (0.772-0.844),0.751 (0.701-0.794),0.750 (0.719-0.780)
ABC,F1,0.459 (0.413-0.505),0.494 (0.440-0.548),0.549 (0.514-0.584)
ABC,NPV,0.945 (0.920-0.963),0.924 (0.890-0.948),0.927 (0.907-0.944)
ABC,Optimal_Threshold,0.334732,0.334732,0.334732
ABC,PPV,0.353 (0.310-0.398),0.381 (0.330-0.435),0.429 (0.394-0.464)
ABC,Precision,0.353 (0.310-0.398),0.381 (0.330-0.435),0.429 (0.394-0.464)
ABC,Recall,0.655 (0.609-0.697),0.702 (0.650-0.749),0.765 (0.733-0.793)
ABC,Sensitivity,0.655 (0.609-0.697),0.702 (0.650-0.749),0.765 (0.733-0.793)
ABC,Specificity,0.832 (0.795-0.864),0.761 (0.712-0.804),0.747 (0.715-0.776)
GBC,AUC,0.823 (0.766-0.882),0.788 (0.721-0.850),0.870 (0.839-0.899)
GBC,Accuracy,0.811 (0.772-0.844),0.742 (0.692-0.786),0.776 (0.746-0.804)
GBC,F1,0.472 (0.426-0.518),0.491 (0.437-0.545),0.590 (0.555-0.625)
GBC,NPV,0.950 (0.926-0.967),0.927 (0.894-0.950),0.942 (0.923-0.957)
GBC,Optimal_Threshold,0.176458,0.176458,0.176458
GBC,PPV,0.358 (0.316-0.404),0.373 (0.322-0.426),0.464 (0.429-0.500)
GBC,Precision,0.358 (0.316-0.404),0.373 (0.322-0.426),0.464 (0.429-0.500)
GBC,Recall,0.691 (0.647-0.732),0.719 (0.668-0.765),0.810 (0.781-0.837)
GBC,Sensitivity,0.691 (0.647-0.732),0.719 (0.668-0.765),0.810 (0.781-0.837)
GBC,Specificity,0.827 (0.790-0.860),0.746 (0.697-0.790),0.768 (0.737-0.796)
LGB,AUC,0.824 (0.768-0.879),0.796 (0.731-0.855),0.879 (0.850-0.905)
LGB,Accuracy,0.820 (0.781-0.852),0.745 (0.695-0.789),0.785 (0.755-0.813)
LGB,F1,0.471 (0.425-0.517),0.468 (0.415-0.522),0.604 (0.569-0.638)
LGB,NPV,0.946 (0.921-0.963),0.912 (0.877-0.938),0.947 (0.928-0.960)
LGB,Optimal_Threshold,0.469906,0.469906,0.469906
LGB,PPV,0.367 (0.324-0.413),0.366 (0.316-0.420),0.477 (0.442-0.513)
LGB,Precision,0.367 (0.324-0.413),0.366 (0.316-0.420),0.477 (0.442-0.513)
LGB,Recall,0.655 (0.609-0.697),0.649 (0.596-0.699),0.824 (0.795-0.849)
LGB,Sensitivity,0.655 (0.609-0.697),0.649 (0.596-0.699),0.824 (0.795-0.849)
LGB,Specificity,0.843 (0.806-0.873),0.765 (0.716-0.807),0.776 (0.745-0.804)
LR,AUC,0.825 (0.771-0.878),0.809 (0.746-0.867),0.839 (0.805-0.871)
LR,Accuracy,0.833 (0.796-0.865),0.760 (0.711-0.803),0.774 (0.743-0.802)
LR,F1,0.460 (0.415-0.507),0.503 (0.449-0.557),0.576 (0.540-0.610)
LR,NPV,0.937 (0.911-0.956),0.925 (0.892-0.949),0.932 (0.912-0.947)
LR,Optimal_Threshold,0.490974,0.490974,0.490974
LR,PPV,0.381 (0.337-0.427),0.392 (0.341-0.446),0.459 (0.424-0.494)
LR,Precision,0.381 (0.337-0.427),0.392 (0.341-0.446),0.459 (0.424-0.494)
LR,Recall,0.582 (0.536-0.627),0.702 (0.650-0.749),0.771 (0.740-0.800)
LR,Sensitivity,0.582 (0.536-0.627),0.702 (0.650-0.749),0.771 (0.740-0.800)
LR,Specificity,0.868 (0.834-0.896),0.772 (0.724-0.814),0.774 (0.743-0.802)
RF,AUC,0.816 (0.756-0.875),0.804 (0.739-0.864),0.861 (0.829-0.891)
RF,Accuracy,0.824 (0.786-0.856),0.769 (0.721-0.811),0.785 (0.755-0.813)
RF,F1,0.463 (0.417-0.509),0.506 (0.453-0.560),0.589 (0.553-0.623)
RF,NPV,0.941 (0.915-0.959),0.922 (0.888-0.947),0.933 (0.913-0.948)
RF,Optimal_Threshold,0.485877,0.485877,0.485877
RF,PPV,0.370 (0.326-0.415),0.402 (0.351-0.456),0.476 (0.441-0.511)
RF,Precision,0.370 (0.326-0.415),0.402 (0.351-0.456),0.476 (0.441-0.511)
RF,Recall,0.618 (0.572-0.662),0.684 (0.632-0.732),0.771 (0.740-0.800)
RF,Sensitivity,0.618 (0.572-0.662),0.684 (0.632-0.732),0.771 (0.740-0.800)
RF,Specificity,0.853 (0.817-0.883),0.787 (0.739-0.828),0.789 (0.759-0.816)
XGB,AUC,0.817 (0.759-0.875),0.792 (0.726-0.853),0.861 (0.830-0.890)
XGB,Accuracy,0.837 (0.800-0.869),0.781 (0.733-0.822),0.802 (0.773-0.829)
XGB,F1,0.467 (0.421-0.513),0.500 (0.446-0.554),0.602 (0.567-0.636)
XGB,NPV,0.937 (0.911-0.956),0.913 (0.878-0.939),0.930 (0.909-0.946)
XGB,Optimal_Threshold,0.51053,0.51053,0.51053
XGB,PPV,0.390 (0.346-0.436),0.414 (0.362-0.468),0.502 (0.467-0.537)
XGB,Precision,0.390 (0.346-0.436),0.414 (0.362-0.468),0.502 (0.467-0.537)
XGB,Recall,0.582 (0.536-0.627),0.632 (0.578-0.682),0.752 (0.720-0.781)
XGB,Sensitivity,0.582 (0.536-0.627),0.632 (0.578-0.682),0.752 (0.720-0.781)
XGB,Specificity,0.873 (0.839-0.901),0.812 (0.767-0.851),0.815 (0.786-0.841)
